Date,Currency,TierLow,TierHigh,Rate,BenchmarkDiff
2025-10-23,USD,0,10000,0,0
2025-10-23,USD,10000,,3.610,-0.5
2025-10-23,AED,0,35000,0,0
2025-10-23,AED,35000,,3.452,-0.75
2025-10-23,AUD,0,15000,0,0
2025-10-23,AUD,15000,150000,3.242,-0.5
2025-10-23,AUD,150000,,3.492,-0.25
2025-10-23,CAD,0,13000,0,0
2025-10-23,CAD,13000,,2.033,-0.5
2025-10-23,CHF,0,100000,0,0
2025-10-23,CHF,100000,,-0.382,-0.25
2025-10-23,CNH,0,70000,0,0
2025-10-23,CNH,70000,,0.50,0
2025-10-23,CZK,0,250000,0,0
2025-10-23,CZK,250000,,1.330,-2
2025-10-23,DKK,0,75000,0,0
2025-10-23,DKK,75000,,1.087,-0.5
2025-10-23,EUR,0,10000,0,0
2025-10-23,EUR,10000,,1.510,-0.5
2025-10-23,GBP,0,8000,0,0
2025-10-23,GBP,8000,,3.553,-0.5
2025-10-23,HKD,0,78000,0,0
2025-10-23,HKD,78000,,3.510,-0.75
2025-10-23,HUF,0,3500000,0,0
2025-10-23,HUF,3500000,,3.455,-3
2025-10-23,ILS,,,0,0
2025-10-23,INR,,,0,0
2025-10-23,JPY,0,5000000,0,0
2025-10-23,JPY,5000000,,0.167,-0.25
2025-10-23,KRW,0,12000000,0,0
2025-10-23,KRW,12000000,,1.000,-1.5
2025-10-23,MXN,0,200000,0,0
2025-10-23,MXN,200000,,3.844,-4
2025-10-23,NOK,0,100000,0,0
2025-10-23,NOK,100000,,2.005,-2
2025-10-23,NZD,0,15000,0,0
2025-10-23,NZD,15000,,0.354,-2.5
2025-10-23,PLN,0,400000,0,0
2025-10-23,PLN,400000,,2.671,-2
2025-10-23,RUB,,,0,0
2025-10-23,SAR,0,35000,0,0
2025-10-23,SAR,35000,,5.004,-0.75
2025-10-23,SEK,0,110000,0,0
2025-10-23,SEK,110000,,1.287,-0.5
2025-10-23,SGD,0,14000,0,0
2025-10-23,SGD,14000,,0.594,-1
2025-10-23,TRY,0,250000,0,0
2025-10-23,TRY,250000,,5,0
2025-10-23,ZAR,0,150000,0,0
2025-10-23,ZAR,150000,,5.275,-1
