Date,Currency,TierLow,TierHigh,Rate,BenchmarkDiff
2026-02-28,USD,0,100000,5.140,1.5
2026-02-28,USD,100000,1000000,4.640,1
2026-02-28,USD,1000000,50000000,4.390,0.75
2026-02-28,USD,50000000,250000000,4.140,0.5
2026-02-28,USD,250000000,,4.140,0.5
2026-02-28,AED,0,350000,6.160,2.5
2026-02-28,AED,350000,3500000,5.660,2
2026-02-28,AED,3500000,350000000,5.160,1.5
2026-02-28,AED,350000000,,5.160,1.5
2026-02-28,AUD,0,150000,5.340,1.5
2026-02-28,AUD,150000,1500000,4.840,1
2026-02-28,AUD,1500000,75000000,4.590,0.75
2026-02-28,AUD,75000000,300000000,4.340,0.5
2026-02-28,AUD,300000000,,4.340,0.5
2026-02-28,CAD,0,130000,3.633,1.5
2026-02-28,CAD,130000,1300000,3.133,1
2026-02-28,CAD,1300000,64000000,2.883,0.75
2026-02-28,CAD,64000000,260000000,2.633,0.5
2026-02-28,CAD,260000000,,2.633,0.5
2026-02-28,CHF,0,90000,1.500,1.5
2026-02-28,CHF,90000,900000,1.000,1
2026-02-28,CHF,900000,46000000,0.750,0.75
2026-02-28,CHF,46000000,180000000,0.75,0.5
2026-02-28,CHF,180000000,,0.75,0.5
2026-02-28,CNH,0,700000,5.007,4
2026-02-28,CNH,700000,7000000,4.007,3
2026-02-28,CNH,7000000,350000000,3.507,2.5
2026-02-28,CNH,350000000,,3.007,2
2026-02-28,CZK,0,400000000,6.356,3
2026-02-28,CZK,400000000,,6.356,3
2026-02-28,DKK,0,120000000,4.492,3
2026-02-28,DKK,120000000,,4.492,3
2026-02-28,EUR,0,90000,3.398,1.5
2026-02-28,EUR,90000,900000,2.898,1
2026-02-28,EUR,900000,44000000,2.648,0.75
2026-02-28,EUR,44000000,180000000,2.398,0.5
2026-02-28,EUR,180000000,,2.398,0.5
2026-02-28,GBP,0,80000,5.172,1.5
2026-02-28,GBP,80000,800000,4.672,1
2026-02-28,GBP,800000,38000000,4.422,0.75
2026-02-28,GBP,38000000,150000000,4.172,0.5
2026-02-28,GBP,150000000,,4.172,0.5
2026-02-28,HKD,0,780000,4.714,2.5
2026-02-28,HKD,780000,7800000,4.214,2
2026-02-28,HKD,7800000,780000000,3.714,1.5
2026-02-28,HKD,780000000,,3.714,1.5
2026-02-28,HUF,0,4500000000,10.917,5
2026-02-28,HUF,4500000000,,10.917,5
2026-02-28,ILS,0,80000000,8.918,5
2026-02-28,ILS,80000000,,8.918,5
2026-02-28,INR,,,8.130,3
2026-02-28,JPY,0,11000000,2.162,1.5
2026-02-28,JPY,11000000,114000000,1.662,1
2026-02-28,JPY,114000000,5700000000,1.412,0.75
2026-02-28,JPY,5700000000,23000000000,1.162,0.5
2026-02-28,JPY,23000000000,,1.162,0.5
2026-02-28,KRW,0,120000000,4.500,2
2026-02-28,KRW,120000000,1200000000,4.000,1.5
2026-02-28,KRW,1200000000,24000000000,3.500,1
2026-02-28,KRW,24000000000,,3.500,1
2026-02-28,MXN,0,2000000,9.939,3
2026-02-28,MXN,2000000,20000000,8.939,2
2026-02-28,MXN,20000000,2000000000,8.439,1.5
2026-02-28,MXN,2000000000,,8.439,1.5
2026-02-28,NOK,0,900000,5.236,1.5
2026-02-28,NOK,900000,9000000,4.736,1
2026-02-28,NOK,9000000,450000000,4.486,0.75
2026-02-28,NOK,450000000,1800000000,4.236,0.5
2026-02-28,NOK,1800000000,,4.236,0.5
2026-02-28,NZD,0,150000,4.044,1.5
2026-02-28,NZD,150000,1500000,3.544,1
2026-02-28,NZD,1500000,150000000,3.294,0.75
2026-02-28,NZD,150000000,,3.294,0.75
2026-02-28,PLN,0,70000000,6.837,3
2026-02-28,PLN,70000000,,6.837,3
2026-02-28,RON,,,8.235,3
2026-02-28,RUB*,0,660000000,20.250,5
2026-02-28,RUB*,660000000,,20.250,5
2026-02-28,SAR,0,350000,7.093,2.5
2026-02-28,SAR,350000,3500000,6.593,2
2026-02-28,SAR,3500000,350000000,6.093,1.5
2026-02-28,SAR,350000000,,6.093,1.5
2026-02-28,SEK,0,900000,3.210,1.5
2026-02-28,SEK,900000,9100000,2.710,1
2026-02-28,SEK,9100000,454000000,2.460,0.75
2026-02-28,SEK,454000000,1820000000,2.210,0.5
2026-02-28,SEK,1820000000,,2.210,0.5
2026-02-28,SGD,0,140000,2.884,1.5
2026-02-28,SGD,140000,1400000,2.384,1
2026-02-28,SGD,1400000,68000000,2.134,0.75
2026-02-28,SGD,68000000,270000000,1.884,0.5
2026-02-28,SGD,270000000,,1.884,0.5
2026-02-28,TRY,0,250000000,34.484,5
2026-02-28,TRY,250000000,,34.484,5
2026-02-28,ZAR,0,1500000,7.839,1.5
2026-02-28,ZAR,1500000,15000000,7.339,1
2026-02-28,ZAR,15000000,1500000000,7.089,0.75
2026-02-28,ZAR,1500000000,,7.089,0.75
